run,team,n_topics,avg_concepts,private_rate,rare_rate,mean_share,consensus_coverage,total_private,priv_vs_median
brad,T175,119,138.9075630252101,0.15840977659033878,0.38199842866118344,0.2899423916339938,0.6597318622547134,2618,3.257792281569806
rene,T047,119,166.32773109243698,0.15785290839854363,0.42533840762606473,0.25125995021369224,0.6163008905820198,3165,3.246339952451424
june,T300,119,200.01680672268907,0.1207941959457843,0.3773502590852271,0.2619501675248346,0.7426778061124363,2900,2.4842052534944825
nell,T614,119,117.6218487394958,0.1084093414440643,0.3154973737340588,0.32814833689055345,0.6400563440891647,1612,2.2295032756714215
april,T448,119,217.98319327731093,0.10802377656632539,0.3511585046738627,0.2696503367248152,0.831131987628631,2847,2.2215739021833785
sofia,T578,119,204.1764705882353,0.1047307724841574,0.34128974144893637,0.28007890486255793,0.8349700735648918,2586,2.153851293686757
ari,T569,119,101.71428571428571,0.10215111549314912,0.2903327784722382,0.34480211467038524,0.5708993679068944,1309,2.1007990969392183
jamie,T300,119,208.45378151260505,0.09819978715889507,0.33680764623368925,0.2805663917930502,0.8535048280968194,2452,2.019537654455333
oscar,T086,119,194.42016806722688,0.09750880431577777,0.3578552013812173,0.2754749528430265,0.7836598593153777,2249,2.0053271769112215
anika,T086,119,197.56302521008402,0.0957043029707922,0.3544402483903219,0.27597553685894144,0.7970627752630356,2237,1.968216521998936
paula,T907,119,19.529411764705884,0.09549355244088184,0.280684977445269,0.4108651964815731,0.14090854414045703,245,1.9638823106613728
kane,T066,119,161.9327731092437,0.09412795114823723,0.3402380807614828,0.2935882987550805,0.7373614792997367,1807,1.935797899164572
gilda,T086,119,200.94957983193277,0.09269450289505982,0.3565165394655017,0.2735411358214034,0.8010349363847135,2228,1.9063181741390907
omar,T086,119,194.99159663865547,0.09140916677831219,0.3394190596388157,0.28004955221285643,0.7931109332307282,2134,1.8798844642349843
annie,T907,119,19.285714285714285,0.0900591827687447,0.2721869506380022,0.4088000359499163,0.14150202600642045,215,1.8521212315527922
yara,T649,119,231.87394957983193,0.08894025939618333,0.34654085108174437,0.25809864648712955,0.7831095494995406,2435,1.8291098997697464
henry,T086,119,192.0924369747899,0.08743107705083553,0.3504038453474859,0.2797586279373122,0.7895094347781745,2012,1.7980726576122104
pablo,T086,119,191.94117647058823,0.08654511778730697,0.34212272621594014,0.28201060019603696,0.7944954649719864,1983,1.779852372774787
miles,T086,119,193.7983193277311,0.08202915234689943,0.3410683380273175,0.282331332946995,0.7972780138768474,1890,1.6869788287785579
tara,T341,119,183.7058823529412,0.0762833975901474,0.2976624303355187,0.3052688898761171,0.8465554044360942,1689,1.5688139282197537
carlo,T907,86,26.63953488372093,0.07423754452227067,0.1983938686687985,0.48936657725665755,0.2523256210610858,166,1.526739730040743
sara,T569,119,163.78991596638656,0.07325620836299013,0.2715594907279465,0.32384581272988067,0.7999942646782902,1498,1.5065579620075917
carmen,T569,119,230.6386554621849,0.07210812130448839,0.3231231778289739,0.26824799849018255,0.8189228813024619,1964,1.4829468614918093
tania,T047,118,187.92372881355934,0.06715923727014764,0.3635724259487752,0.27317139078339536,0.7565193727906011,1469,1.3811700863679268
vince,T507,119,161.7563025210084,0.06599589774890682,0.2730054456546844,0.322023061878676,0.8074752082693938,1291,1.3572453097870945
steve,T047,119,187.74789915966386,0.06469622266634814,0.34756652442375113,0.2794339139053956,0.7645378244571678,1419,1.3305167104313997
damon,T047,118,74.23728813559322,0.0628284207372864,0.28369546579805854,0.365229010313253,0.4505426025530665,578,1.2921042409552597
isaac,T047,119,59.747899159663866,0.060900610334433634,0.26486164782617583,0.3886275000560878,0.3966597453073279,472,1.252457661142289
gia,T182,119,71.82352941176471,0.060622386749109296,0.23427991458040792,0.3897225265443442,0.4713351379906614,557,1.2467358258595822
sid,T149,119,191.109243697479,0.05981647977427184,0.27937431907812793,0.3061092235511449,0.8423597812977971,1391,1.2301618644614898
gwen,T448,119,180.7731092436975,0.058404117992810964,0.31833538819560536,0.2971678931758849,0.7984816141671848,1222,1.201115795402719
ariel,T569,119,202.58823529411765,0.057827202337101064,0.28077508687318053,0.29209902084591083,0.802522742405363,1402,1.189251178137656
eve,T341,119,222.8235294117647,0.057467651770564336,0.2829493327943124,0.28834519852187607,0.8656862072810887,1509,1.181856804597653
edith,T569,119,202.2268907563025,0.056796050017347735,0.2828417155682274,0.2922397123678719,0.8026844951387204,1368,1.1680449108180413
marco,T448,119,188.3109243697479,0.05656083526034663,0.3393003589244114,0.28469812337680517,0.7880811753459737,1298,1.163207577944003
zara,T736,119,134.74789915966386,0.05635984751429102,0.24488379514563918,0.34284147930667125,0.7328150853902521,923,1.1590741441251837
lloyd,T820,119,177.54621848739495,0.05547722674534133,0.26142314987624443,0.320415280148087,0.8592854255212075,1185,1.1409225174356674
lars,T569,119,207.7563025210084,0.05543876170130749,0.28376823976258014,0.28967178835618507,0.8139271572293574,1341,1.1401314606823476
maya,T712,119,77.94957983193277,0.05253296159912779,0.19339386380372744,0.417265765389652,0.5598800575745918,603,1.080371934796853
jason,T448,119,187.36974789915968,0.05200735471305137,0.27219351781044393,0.30910924089940883,0.8577385777092844,1157,1.069562513222906
karl,T448,119,178.65546218487395,0.04953675276225228,0.3216273689115733,0.292600823608838,0.7573590613633538,1102,1.0187530989342968
adela,T448,119,164.109243697479,0.04862488547428418,0.29242578923650026,0.31534347460161516,0.7962211139699045,976,1.0
daria,T445,119,97.89915966386555,0.04444713683337244,0.2004642181781299,0.39724868093232174,0.6666045852202973,535,0.9140820878000588
alex,T706,118,144.83898305084745,0.040163862729861714,0.22336626634556095,0.3517953996372636,0.7960695501377596,708,0.8259939810265019
alton,T175,119,131.4033613445378,0.039805814390214835,0.20905399835709226,0.36784195518913326,0.7804459867973996,629,0.8186305016855328
linda,T656,119,39.51260504201681,0.03937824542352617,0.15014388637859885,0.5012655417437407,0.3752891971025049,188,0.8098372888580231
gabe,T175,119,125.10924369747899,0.03715418334205375,0.20723002298523585,0.3751763443786851,0.7608125316289046,560,0.7640981151863722
brian,T656,119,34.42857142857143,0.03454000839653974,0.1566856347450573,0.49894026068475134,0.323989606973173,155,0.7103360359544006
finn,T736,119,248.88235294117646,0.0333491205096492,0.32680627975669957,0.2615837978865423,0.8264788225116881,977,0.6858447106736376
saul,T267,119,162.16806722689077,0.032630361427816175,0.20436685215740735,0.34449053609506,0.8149685837208931,644,0.6710629980830106
arlen,T410,119,166.31932773109244,0.03187662122563909,0.21761346781602844,0.3366485572711624,0.8176009626825393,623,0.6555618777240597
eden,T736,119,250.38655462184875,0.03174241109104379,0.32500806246659986,0.2628424377250599,0.835668503443323,940,0.6528017656274198
