run,team,topic,n_concepts,private,private_rate,rare,rare_rate,mean_share,consensus_coverage
adela,T448,rag2026-0,169,3,0.01775147928994083,40,0.23668639053254437,0.3532255736758551,0.8
alex,T706,rag2026-0,158,8,0.05063291139240506,31,0.1962025316455696,0.38545847483791296,0.8
alton,T175,rag2026-0,167,13,0.07784431137724551,47,0.281437125748503,0.3489119322330948,0.8
alvin,T047,rag2026-0,99,0,0.0,20,0.20202020202020202,0.3982508006898251,0.5846153846153846
andre,T712,rag2026-0,85,2,0.023529411764705882,8,0.09411764705882353,0.5008608321377331,0.7076923076923077
anika,T086,rag2026-0,178,13,0.07303370786516854,48,0.2696629213483146,0.33728418744861605,0.7846153846153846
annie,T907,rag2026-0,33,0,0.0,4,0.12121212121212122,0.4985218033998522,0.27692307692307694
april,T448,rag2026-0,214,22,0.102803738317757,66,0.308411214953271,0.3081262821974014,0.8153846153846154
ari,T569,rag2026-0,184,27,0.14673913043478262,66,0.358695652173913,0.2851272534464475,0.6461538461538462
ariel,T569,rag2026-0,214,6,0.028037383177570093,40,0.18691588785046728,0.32009345794392524,0.7538461538461538
arlen,T410,rag2026-0,178,7,0.03932584269662921,38,0.21348314606741572,0.34975335708413263,0.7230769230769231
arlo,T047,rag2026-0,123,1,0.008130081300813009,32,0.2601626016260163,0.3716042038469165,0.6615384615384615
aron,T768,rag2026-0,97,0,0.0,9,0.09278350515463918,0.47058083982901683,0.676923076923077
brad,T175,rag2026-0,168,20,0.11904761904761904,57,0.3392857142857143,0.3077816492450639,0.7384615384615385
brian,T656,rag2026-0,38,0,0.0,2,0.05263157894736842,0.6399229781771502,0.4461538461538462
carlo,T907,rag2026-0,32,0,0.0,3,0.09375,0.6028963414634146,0.3384615384615385
carmen,T569,rag2026-0,282,33,0.11702127659574468,101,0.35815602836879434,0.258346306867324,0.7692307692307693
chris,T768,rag2026-0,105,1,0.009523809523809525,9,0.08571428571428572,0.4614401858304297,0.7230769230769231
conor,T768,rag2026-0,100,0,0.0,10,0.1,0.4481707317073171,0.6307692307692307
damon,T047,rag2026-0,21,4,0.19047619047619047,6,0.2857142857142857,0.40301974448315914,0.12307692307692308
