team_id,run_id,topic_id,n_answer_items,n_chars,gpt6_tokens,qwen_tokens
T448,adela,rag2026-0,40,4925,782,795
T448,adela,rag2026-1,40,3718,644,652
T448,adela,rag2026-2,40,4877,793,799
T448,adela,rag2026-3,45,5337,919,950
T448,adela,rag2026-4,37,4224,734,756
T448,adela,rag2026-5,35,4106,712,727
T448,adela,rag2026-6,46,5850,986,1037
T448,adela,rag2026-7,56,6937,1123,1147
T448,adela,rag2026-8,37,4403,781,800
T448,adela,rag2026-9,35,4278,728,745
T448,adela,rag2026-10,30,3574,676,703
T448,adela,rag2026-11,44,4878,834,861
T448,adela,rag2026-12,42,4712,826,851
T448,adela,rag2026-13,45,5124,860,871
T448,adela,rag2026-14,51,5721,917,940
T448,adela,rag2026-15,42,4951,852,877
T448,adela,rag2026-16,34,4289,720,739
T448,adela,rag2026-17,36,4224,723,738
T448,adela,rag2026-18,40,5033,876,879
T448,adela,rag2026-19,41,4413,815,856
T448,adela,rag2026-20,25,2786,462,469
T448,adela,rag2026-21,39,4036,827,865
T448,adela,rag2026-22,39,4207,713,717
T448,adela,rag2026-23,37,4426,732,741
T448,adela,rag2026-24,32,3622,722,746
T448,adela,rag2026-25,37,4092,741,749
T448,adela,rag2026-26,50,5766,978,1010
T448,adela,rag2026-27,49,5380,1063,1097
T448,adela,rag2026-28,47,6122,1047,1072
T448,adela,rag2026-29,50,5599,980,1005
T448,adela,rag2026-30,44,4833,804,825
T448,adela,rag2026-31,46,4904,838,844
T448,adela,rag2026-32,42,4930,832,858
T448,adela,rag2026-33,40,4509,766,779
T448,adela,rag2026-34,46,4691,826,851
T448,adela,rag2026-35,37,4186,715,748
T448,adela,rag2026-36,45,5132,860,864
T448,adela,rag2026-37,43,4530,845,865
T448,adela,rag2026-38,45,5128,902,925
T448,adela,rag2026-39,45,6116,1016,1038
T448,adela,rag2026-40,44,4916,830,847
T448,adela,rag2026-41,43,4532,755,762
T448,adela,rag2026-42,44,5142,885,905
T448,adela,rag2026-43,45,5081,869,882
T448,adela,rag2026-44,46,4985,893,907
T448,adela,rag2026-45,46,4891,839,853
T448,adela,rag2026-46,38,4334,755,771
T448,adela,rag2026-47,45,4659,763,765
T448,adela,rag2026-48,44,5323,902,916
T448,adela,rag2026-49,45,5610,929,953
T448,adela,rag2026-50,37,4178,765,780
T448,adela,rag2026-51,45,4553,753,758
T448,adela,rag2026-52,48,5352,960,977
T448,adela,rag2026-53,48,5307,920,935
T448,adela,rag2026-54,40,4842,803,809
T448,adela,rag2026-55,42,4840,791,803
T448,adela,rag2026-56,40,4633,853,906
T448,adela,rag2026-57,47,5172,924,974
T448,adela,rag2026-58,35,3460,685,687
T448,adela,rag2026-59,45,4904,821,836
T448,adela,rag2026-60,50,4872,911,960
T448,adela,rag2026-61,38,4336,714,722
T448,adela,rag2026-62,50,5503,924,934
T448,adela,rag2026-63,37,3853,658,663
T448,adela,rag2026-64,39,4704,746,766
T448,adela,rag2026-65,46,5056,843,855
T448,adela,rag2026-66,39,4478,769,778
T448,adela,rag2026-67,30,3532,656,682
T448,adela,rag2026-68,35,4162,659,663
T448,adela,rag2026-69,45,5479,863,875
T448,adela,rag2026-70,51,5407,1017,1041
T448,adela,rag2026-71,40,4251,740,743
T448,adela,rag2026-72,40,4675,833,850
T448,adela,rag2026-73,45,4766,805,828
T448,adela,rag2026-74,45,4961,898,923
T448,adela,rag2026-75,39,4244,721,735
T448,adela,rag2026-76,34,3827,764,778
T448,adela,rag2026-77,40,4675,718,731
