run,topic,precision,recall,f1,tp,fp,fn,n_cited_docs
adela,rag2026-0,0.9882,0.0279,0.0543,167,2,5819,42
adela,rag2026-1,0.9839,0.0243,0.0474,122,2,4899,29
adela,rag2026-2,0.98,0.0363,0.0701,147,3,3900,27
adela,rag2026-3,0.9759,0.0492,0.0936,162,4,3133,42
adela,rag2026-4,0.9784,0.0269,0.0523,136,3,4923,32
adela,rag2026-5,0.9815,0.0384,0.0739,159,3,3982,32
adela,rag2026-6,1.0,0.0217,0.0425,221,0,9960,48
adela,rag2026-7,0.9696,0.0487,0.0928,223,7,4354,37
adela,rag2026-8,0.9309,0.0315,0.0609,175,13,5382,38
adela,rag2026-9,0.9739,0.0256,0.0499,149,4,5675,28
adela,rag2026-10,0.9371,0.0304,0.0588,134,9,4278,30
adela,rag2026-11,0.9625,0.0255,0.0496,154,6,5891,31
adela,rag2026-12,0.9932,0.0212,0.0414,146,1,6755,38
adela,rag2026-13,0.9821,0.0335,0.0648,165,3,4758,38
adela,rag2026-14,1.0,0.0212,0.0415,184,0,8491,44
adela,rag2026-15,0.9834,0.0387,0.0745,178,3,4419,44
adela,rag2026-16,0.9935,0.0211,0.0413,153,1,7108,46
adela,rag2026-17,0.9932,0.0255,0.0497,146,1,5578,42
adela,rag2026-18,0.9695,0.0638,0.1196,159,5,2335,32
adela,rag2026-19,0.9944,0.0237,0.0462,177,1,7304,45
adela,rag2026-20,0.9794,0.0184,0.0361,95,2,5067,27
adela,rag2026-21,0.9714,0.0258,0.0503,136,4,5134,37
adela,rag2026-22,0.9701,0.0266,0.0517,130,4,4766,42
adela,rag2026-23,0.9941,0.0253,0.0493,168,1,6479,49
adela,rag2026-24,0.9662,0.0246,0.0479,143,5,5679,39
adela,rag2026-25,0.9638,0.0418,0.0801,133,5,3049,24
adela,rag2026-26,1.0,0.0141,0.0278,166,0,11615,50
adela,rag2026-27,0.9893,0.0213,0.0417,185,2,8502,43
adela,rag2026-28,0.9891,0.0259,0.0504,182,2,6857,35
adela,rag2026-29,1.0,0.0321,0.0622,177,0,5335,48
