topic,shard,n_runs_topic,n_referenced,n_cited,cite_rate_of_referencers,cite_rate_of_all_runs,sum_weight
rag2026-0,shard_02865_10,83,3,3,1.0,0.0361,2.5
rag2026-0,shard_00819_39582,83,1,1,1.0,0.012,3.0
rag2026-0,shard_06254_64738,83,3,3,1.0,0.0361,2.5
rag2026-0,shard_03241_76913,83,4,4,1.0,0.0482,4.0
rag2026-0,shard_03596_2068,83,5,5,1.0,0.0602,4.167
rag2026-0,shard_05830_34019,83,3,3,1.0,0.0361,2.0
rag2026-0,shard_03764_2824,83,4,4,1.0,0.0482,3.0
rag2026-0,shard_06520_40181,83,2,2,1.0,0.0241,0.833
rag2026-0,shard_03518_12310,83,4,4,1.0,0.0482,12.667
rag2026-0,shard_01761_48056,83,2,2,1.0,0.0241,1.5
rag2026-0,shard_01332_251,83,4,4,1.0,0.0482,11.0
rag2026-0,shard_01782_17694,83,4,4,1.0,0.0482,5.0
rag2026-0,shard_02254_33175,83,12,12,1.0,0.1446,29.0
rag2026-0,shard_00934_21956,83,26,24,0.9231,0.2892,98.5
rag2026-0,shard_06395_75505,83,1,1,1.0,0.012,3.5
rag2026-0,shard_00870_24051,83,1,1,1.0,0.012,2.5
rag2026-0,shard_03583_12618,83,1,1,1.0,0.012,0.5
rag2026-0,shard_00844_21983,83,19,17,0.8947,0.2048,16.333
rag2026-0,shard_01159_55781,83,11,11,1.0,0.1325,23.833
rag2026-0,shard_02021_75106,83,1,1,1.0,0.012,2.0
rag2026-0,shard_03124_16553,83,2,2,1.0,0.0241,2.0
rag2026-0,shard_00848_49253,83,1,1,1.0,0.012,1.0
rag2026-0,shard_02368_44083,83,5,5,1.0,0.0602,23.333
rag2026-0,shard_01155_70470,83,5,5,1.0,0.0602,6.0
rag2026-0,shard_01837_51920,83,3,3,1.0,0.0361,4.0
rag2026-0,shard_01309_18267,83,3,3,1.0,0.0361,3.0
rag2026-0,shard_04731_56861,83,1,1,1.0,0.012,1.0
rag2026-0,shard_03756_66495,83,6,6,1.0,0.0723,22.0
rag2026-0,shard_00400_6648,83,1,1,1.0,0.012,0.333
rag2026-0,shard_04045_5779,83,1,1,1.0,0.012,1.0
