k_runs,n_shards_cited_by_k,n_shards_referenced_by_k
1,30642,31368
2,11944,12457
3,5304,5461
4,5242,5327
5,2502,2518
6,1592,1646
7,996,1012
8,712,737
9,546,563
10,451,465
11,336,373
12,244,269
13,218,221
14,202,218
15,169,176
16,146,141
17,110,131
18,84,95
19,76,81
20,93,86
21,67,71
22,49,70
23,34,43
24,46,39
25,34,38
26,30,30
27,30,32
28,26,23
29,28,33
30,14,15
31,23,22
32,13,22
33,16,15
34,11,13
35,11,9
36,11,12
37,8,14
38,6,5
39,7,9
40,7,7
41,10,6
42,2,9
43,3,1
44,6,3
45,4,5
46,3,3
47,0,4
48,1,1
49,3,2
50,3,3
51,3,2
52,0,3
53,2,1
54,3,2
55,3,3
56,4,1
57,1,4
58,4,2
59,2,4
60,1,1
61,0,2
62,2,1
63,0,1
64,0,0
65,0,0
66,2,2
67,0,0
68,0,0
69,0,0
70,0,0
71,0,0
72,0,0
73,1,1
74,0,0
75,0,0
76,0,0
77,0,0
78,0,0
79,0,0
80,0,0
81,0,0
82,0,0
83,0,0
