gen_run,gen_cluster,best_retriever,coverage_full,coverage_top20,second_retriever,second_coverage,retriever_cluster
adela,2,vera,1.0000,0.3682,ted,1.0000,6
alex,7,troy,0.8534,0.2383,gary,0.8061,88
alton,,troy,0.6730,0.0803,gary,0.6576,88
alvin,0,penny,1.0000,0.9910,troy,0.8000,72
andre,,joey,1.0000,0.9679,troy,0.7311,53
anika,,kirk,1.0000,0.2786,gail,1.0000,55
annie,,zelda,1.0000,0.5749,troy,1.0000,91
april,,vera,1.0000,0.5474,ted,1.0000,6
ari,,troy,0.4215,0.0427,gail,0.4171,88
ariel,,gary,0.4481,0.0605,kirk,0.4420,45
arlen,,mabel,1.0000,1.0000,gary,0.9927,61
arlo,0,penny,1.0000,0.9913,troy,0.7911,72
aron,1,zelda,1.0000,0.4179,walt,1.0000,91
brad,,troy,1.0000,0.2227,ted,1.0000,88
brian,,zelda,1.0000,0.5106,walt,1.0000,91
carlo,,zelda,1.0000,0.9589,troy,1.0000,91
carmen,,ken,0.3948,0.0522,hall,0.3948,4
chris,1,zelda,1.0000,0.4329,walt,1.0000,91
conor,8,zelda,1.0000,0.3885,troy,1.0000,91
damon,3,tom,1.0000,0.9109,troy,0.4904,87
darcy,,gary,0.5389,0.0743,ellen,0.5347,45
daria,,harry,1.0000,1.0000,troy,0.7208,46
deena,9,zelda,1.0000,0.3728,troy,1.0000,91
eden,4,max,1.0000,0.1309,ken,1.0000,65
edith,,ken,0.4184,0.0591,hall,0.4184,4
eva,1,zelda,1.0000,0.4219,walt,1.0000,91
eve,,jay,1.0000,0.3139,neil,0.9866,14
finn,4,ken,1.0000,0.0741,hall,1.0000,4
gabe,,troy,0.6829,0.0719,jean,0.6761,88
geoff,8,zelda,1.0000,0.3845,troy,1.0000,91
gia,,troy,1.0000,0.2710,ted,1.0000,88
gilda,,kirk,1.0000,0.3079,gail,1.0000,55
gwen,2,vera,1.0000,0.3989,ted,1.0000,6
hana,6,ken,0.6697,0.1099,hall,0.6697,4
henry,,livia,1.0000,0.2411,leo,1.0000,16
hilda,3,tom,1.0000,0.9691,troy,0.4982,87
isaac,0,penny,1.0000,0.9682,troy,0.7949,72
jamie,,ethan,1.0000,0.8180,troy,0.4645,39
jason,,vera,1.0000,0.4460,ted,1.0000,6
jeff,1,zelda,1.0000,0.4114,walt,1.0000,91
jon,5,shane,0.9989,0.0770,dylan,0.9932,83
june,,ken,0.5223,0.0987,hall,0.5223,4
kane,,zelda,1.0000,0.2447,troy,1.0000,91
karl,2,vera,1.0000,0.4914,ted,1.0000,6
lars,,gary,0.4046,0.0497,gail,0.3981,45
laura,3,tom,1.0000,0.9770,troy,0.5017,87
leon,5,shane,0.8056,0.1159,dylan,0.6808,83
linda,,vance,1.0000,1.0000,troy,0.9958,11
lloyd,,liana,0.9542,0.5756,troy,0.7946,57
luca,6,ken,0.6723,0.1053,hall,0.6723,4
marco,2,vera,1.0000,0.3937,ted,1.0000,6
maya,,louis,1.0000,0.2905,faith,1.0000,60
miles,,kirk,1.0000,0.2336,gail,1.0000,55
nell,,louis,1.0000,1.0000,faith,1.0000,60
nina,5,shane,0.7907,0.1228,kira,0.6722,83
nola,5,kira,1.0000,0.1807,erin,0.9967,54
omar,,gail,0.9970,0.2980,kirk,0.9958,44
opal,9,zelda,1.0000,0.3730,troy,1.0000,91
oscar,,livia,1.0000,0.3440,leo,1.0000,16
pablo,,kirk,1.0000,0.2212,gail,1.0000,55
paris,,troy,0.5696,0.0737,gary,0.4929,88
pat,,mila,1.0000,0.9608,faith,0.9966,67
paula,,zelda,1.0000,0.9905,troy,1.0000,91
reid,,sally,1.0000,1.0000,troy,0.9763,78
rene,0,penny,1.0000,1.0000,troy,0.8037,72
rick,,ken,0.6873,0.1174,hall,0.6873,4
rita,4,ken,1.0000,0.0719,hall,1.0000,4
ryan,0,penny,1.0000,0.9936,troy,0.7912,72
sara,,gail,0.4489,0.0913,kirk,0.4413,44
saul,,mandy,1.0000,0.3984,louis,1.0000,13
sid,,troy,0.5271,0.0557,gary,0.4410,88
sofia,,gary,0.9484,0.3749,troy,0.9381,45
sonia,,pedro,1.0000,1.0000,gary,0.9802,71
steve,0,penny,1.0000,0.9857,troy,0.7942,72
tania,3,tom,1.0000,0.9573,troy,0.4985,87
tara,,neil,1.0000,0.2503,jay,0.9634,14
todd,4,ken,1.0000,0.0862,hall,1.0000,4
vince,,troy,0.9251,0.2416,jean,0.9003,88
will,7,troy,0.8457,0.2257,gary,0.8060,88
xavi,6,ken,0.6834,0.1103,hall,0.6834,4
yara,,kirk,0.4018,0.0941,gail,0.3996,55
zara,,perry,1.0000,0.3223,troy,0.5505,73
zora,1,zelda,1.0000,0.4261,walt,1.0000,91
