run,team,topic,n_answer_concepts,n_cited_docs,hn_size,redundancy,effective_docs,precision,ungrounded_rate,private_ung_rate,n_ungrounded,n_private_ung,private_ung_concepts
adela,T448,rag2026-0,169,42,5986,0.6877,13.1176,0.9882,0.0118,0.0059,2,1,infraction
adela,T448,rag2026-1,124,29,5021,0.5701,12.4665,0.9839,0.0161,0.0,2,0,
adela,T448,rag2026-2,150,27,4047,0.6173,10.3328,0.98,0.02,0.0133,3,2,coffer|pillar
adela,T448,rag2026-3,166,42,3295,0.6468,14.8328,0.9759,0.0241,0.012,4,2,nesting|possesse
adela,T448,rag2026-4,139,32,5059,0.5861,13.2456,0.9784,0.0216,0.0072,3,1,metaphor
adela,T448,rag2026-5,162,32,4141,0.6726,10.4761,0.9815,0.0185,0.0062,3,1,giants
adela,T448,rag2026-6,221,48,10181,0.6826,15.2348,1.0,0.0,0.0,0,0,
adela,T448,rag2026-7,230,37,4577,0.6984,11.1575,0.9696,0.0304,0.0087,7,2,datapoint|takes
adela,T448,rag2026-8,188,38,5557,0.6444,13.5129,0.9309,0.0691,0.0372,13,7,high‑school|listening|long‑term|news‑literacy|poll‑worker|single‑candidate|small‑group
adela,T448,rag2026-9,153,28,5824,0.618,10.6946,0.9739,0.0261,0.0065,4,1,hesitancy
adela,T448,rag2026-10,143,30,4412,0.6463,10.6109,0.9371,0.0629,0.021,9,3,fast‑moving|pro‑french|rite
adela,T448,rag2026-11,160,31,6045,0.5485,13.9951,0.9625,0.0375,0.0063,6,1,nimby
adela,T448,rag2026-12,147,38,6901,0.6831,12.042,0.9932,0.0068,0.0068,1,1,sunbather
adela,T448,rag2026-13,168,38,4923,0.6613,12.8706,0.9821,0.0179,0.0119,3,2,liaison|paddling
adela,T448,rag2026-14,184,44,8675,0.6319,16.1964,1.0,0.0,0.0,0,0,
adela,T448,rag2026-15,181,44,4597,0.6196,16.7385,0.9834,0.0166,0.0055,3,1,seeking
adela,T448,rag2026-16,154,46,7261,0.6303,17.0081,0.9935,0.0065,0.0065,1,1,vs'—volume
adela,T448,rag2026-17,147,42,5724,0.6774,13.5487,0.9932,0.0068,0.0,1,0,
adela,T448,rag2026-18,164,32,2494,0.5871,13.2132,0.9695,0.0305,0.0061,5,1,involve
adela,T448,rag2026-19,178,45,7481,0.7642,10.6097,0.9944,0.0056,0.0,1,0,
adela,T448,rag2026-20,97,27,5162,0.6028,10.7236,0.9794,0.0206,0.0103,2,1,personalize
adela,T448,rag2026-21,140,37,5270,0.4904,18.8542,0.9714,0.0286,0.0214,4,3,maxim|meatpacker|pronoun
adela,T448,rag2026-22,134,42,4896,0.6897,13.0345,0.9701,0.0299,0.0299,4,4,deskilling|patrolling|reorganization|workweek
adela,T448,rag2026-23,169,49,6647,0.7061,14.3995,0.9941,0.0059,0.0,1,0,
adela,T448,rag2026-24,148,39,5822,0.6507,13.6208,0.9662,0.0338,0.0068,5,1,gradualism
adela,T448,rag2026-25,138,24,3182,0.5271,11.3508,0.9638,0.0362,0.0072,5,1,restructuring
adela,T448,rag2026-26,166,50,11781,0.6532,17.3423,1.0,0.0,0.0,0,0,
adela,T448,rag2026-27,187,43,8687,0.6348,15.7049,0.9893,0.0107,0.0,2,0,
adela,T448,rag2026-28,184,35,7039,0.5971,14.1022,0.9891,0.0109,0.0054,2,1,cornerstone
adela,T448,rag2026-29,177,48,5512,0.7291,13.0038,1.0,0.0,0.0,0,0,
adela,T448,rag2026-30,179,48,5357,0.6812,15.303,0.9944,0.0056,0.0,1,0,
adela,T448,rag2026-31,166,42,5564,0.6589,14.3253,0.994,0.006,0.006,1,1,pretraining
adela,T448,rag2026-32,154,40,4530,0.6492,14.0302,0.9805,0.0195,0.0,3,0,
adela,T448,rag2026-33,154,43,4992,0.6987,12.9561,0.974,0.026,0.0065,4,1,entrapment
adela,T448,rag2026-34,183,47,4481,0.6819,14.9494,0.9945,0.0055,0.0,1,0,
adela,T448,rag2026-35,149,35,3334,0.7045,10.343,0.9866,0.0134,0.0,2,0,
adela,T448,rag2026-36,202,44,7308,0.6452,15.6101,0.9901,0.0099,0.005,2,1,offload
adela,T448,rag2026-37,169,39,5010,0.6585,13.3199,0.9763,0.0237,0.0118,4,2,correlate|cost‑benefit
adela,T448,rag2026-38,173,48,4777,0.7107,13.8875,0.9884,0.0116,0.0058,2,1,mortality
adela,T448,rag2026-39,209,37,7547,0.6054,14.5984,0.9952,0.0048,0.0,1,0,
adela,T448,rag2026-40,180,44,5695,0.6435,15.6858,0.9889,0.0111,0.0056,2,1,intensity
adela,T448,rag2026-41,171,46,7249,0.6464,16.266,0.9883,0.0117,0.0058,2,1,hinge
adela,T448,rag2026-42,164,37,4553,0.6597,12.5896,0.9634,0.0366,0.0122,6,2,scalability|tournament
adela,T448,rag2026-43,170,31,4135,0.6068,12.1895,0.9706,0.0294,0.0118,5,2,impartiality|wiping
adela,T448,rag2026-44,158,54,4501,0.7177,15.2423,1.0,0.0,0.0,0,0,
adela,T448,rag2026-45,190,42,6074,0.6781,13.52,0.9789,0.0211,0.0158,4,3,extreme|personalisation|reduce
adela,T448,rag2026-46,157,37,3553,0.6478,13.0327,0.9618,0.0382,0.0127,6,2,fatality|millennial
adela,T448,rag2026-47,168,44,4920,0.7153,12.5278,0.994,0.006,0.006,1,1,survivability
adela,T448,rag2026-48,193,43,5258,0.6695,14.2126,0.9741,0.0259,0.0207,5,4,detection|fatigue|maneuver|reformer
adela,T448,rag2026-49,186,39,3957,0.6787,12.5313,0.9785,0.0215,0.0054,4,1,dissemination
adela,T448,rag2026-50,169,32,5535,0.5765,13.5506,0.9763,0.0237,0.0059,4,1,armada
adela,T448,rag2026-51,155,36,4869,0.6907,11.1341,0.9806,0.0194,0.0129,3,2,approvability|degradation
adela,T448,rag2026-52,181,32,3811,0.5685,13.8095,0.9834,0.0166,0.011,3,2,root|vote
adela,T448,rag2026-53,184,45,4968,0.6664,15.0111,0.9837,0.0163,0.0163,3,3,closing|commercialization|correction
adela,T448,rag2026-54,177,41,4521,0.6477,14.4463,0.9887,0.0113,0.0,2,0,
adela,T448,rag2026-55,190,44,7772,0.7125,12.6491,0.9895,0.0105,0.0,2,0,
adela,T448,rag2026-56,152,47,6354,0.7324,12.579,0.9803,0.0197,0.0066,3,1,placement
adela,T448,rag2026-57,149,47,6081,0.7187,13.2196,0.9866,0.0134,0.0134,2,2,dependence|parity
adela,T448,rag2026-58,77,30,1950,0.5824,12.5268,0.974,0.026,0.0,2,0,
adela,T448,rag2026-59,181,39,6992,0.6703,12.8602,0.9779,0.0221,0.011,4,2,borrowing|standstill
adela,T448,rag2026-60,196,36,2492,0.6051,14.2174,0.9643,0.0357,0.0153,7,3,consumption|millisecond|palantiri
adela,T448,rag2026-61,158,42,5517,0.6863,13.1746,0.9747,0.0253,0.0127,4,2,profitability|traction
adela,T448,rag2026-62,144,35,5652,0.57,15.0502,0.9792,0.0208,0.0069,3,1,tenet
adela,T448,rag2026-63,108,37,3943,0.727,10.1005,0.9907,0.0093,0.0,1,0,
adela,T448,rag2026-64,168,47,5447,0.7147,13.4106,0.994,0.006,0.0,1,0,
adela,T448,rag2026-65,185,40,4414,0.6862,12.5523,1.0,0.0,0.0,0,0,
adela,T448,rag2026-66,184,45,7103,0.6634,15.1486,0.9891,0.0109,0.0054,2,1,disbelief
adela,T448,rag2026-67,130,34,7721,0.6366,12.3571,0.9846,0.0154,0.0154,2,2,obsolescence|reverberation
adela,T448,rag2026-68,164,38,4010,0.6975,11.4943,0.9817,0.0183,0.0122,3,2,instability|pillar
adela,T448,rag2026-69,197,44,6254,0.6878,13.7354,0.9848,0.0152,0.0102,3,2,continent|persuader
adela,T448,rag2026-70,183,31,3268,0.6522,10.7832,0.9344,0.0656,0.0164,12,3,1k|friction|steerability
adela,T448,rag2026-71,142,48,3758,0.7062,14.1013,0.993,0.007,0.007,1,1,electing
adela,T448,rag2026-72,188,35,6343,0.6775,11.2888,1.0,0.0,0.0,0,0,
adela,T448,rag2026-73,166,51,7446,0.7323,13.6535,0.994,0.006,0.006,1,1,hospitalization
adela,T448,rag2026-74,178,25,4687,0.5628,10.9295,0.9494,0.0506,0.0112,9,2,comics|fixture
adela,T448,rag2026-75,146,39,4313,0.6885,12.1484,0.9932,0.0068,0.0,1,0,
adela,T448,rag2026-76,142,30,5811,0.5897,12.3088,0.9789,0.0211,0.0141,3,2,independent|u.s.-backed
adela,T448,rag2026-77,165,42,3110,0.6727,13.7466,0.9879,0.0121,0.0,2,0,
adela,T448,rag2026-78,197,39,6059,0.6668,12.9943,0.9848,0.0152,0.0,3,0,
adela,T448,rag2026-79,170,30,7488,0.6546,10.3626,0.9882,0.0118,0.0059,2,1,rethink
adela,T448,rag2026-80,164,31,3254,0.5691,13.359,0.9146,0.0854,0.0061,14,1,cadet
adela,T448,rag2026-81,136,30,3220,0.516,14.5198,0.9853,0.0147,0.0074,2,1,scholars
adela,T448,rag2026-82,211,49,7064,0.64,17.6384,0.981,0.019,0.0095,4,2,counterterrorism|laxity
