run_a,run_b,mean_jaccard,n_shared_topics
arlo,ryan,0.9709,119
hilda,laura,0.9579,118
alvin,arlo,0.9118,119
arlo,steve,0.9067,119
alvin,ryan,0.9045,119
isaac,steve,0.8926,119
ryan,steve,0.8907,119
hilda,tania,0.8905,118
finn,rita,0.8714,119
damon,tania,0.8696,118
laura,tania,0.8659,118
alvin,steve,0.8353,119
arlo,isaac,0.8245,119
conor,geoff,0.8154,119
aron,jeff,0.8097,119
isaac,ryan,0.8010,119
deena,opal,0.7975,119
damon,hilda,0.7915,118
damon,laura,0.7601,118
alvin,isaac,0.7574,119
eden,todd,0.7229,119
alex,will,0.6711,118
hana,luca,0.6303,119
jon,leon,0.5983,119
chris,zora,0.5933,119
finn,todd,0.5630,119
rita,todd,0.5626,119
nina,nola,0.5562,119
chris,eva,0.5519,119
adela,marco,0.5498,119
hana,xavi,0.5388,119
gwen,marco,0.5376,119
adela,gwen,0.5334,119
eva,zora,0.5295,119
alvin,rene,0.5266,119
karl,marco,0.5262,119
jon,nina,0.5245,119
chris,jeff,0.5141,119
rene,ryan,0.5027,119
aron,chris,0.5020,119
gwen,karl,0.5009,119
jeff,zora,0.4979,119
arlo,rene,0.4923,119
aron,zora,0.4910,119
leon,nola,0.4877,119
adela,karl,0.4785,119
jason,karl,0.4765,119
arlen,sonia,0.4759,119
jason,marco,0.4678,119
rene,steve,0.4670,119
gwen,jason,0.4557,119
leon,nina,0.4497,119
adela,jason,0.4450,119
eden,finn,0.4328,119
eden,rita,0.4291,119
alton,gabe,0.4271,119
isaac,rene,0.4211,119
conor,zora,0.4091,119
paris,sid,0.4091,119
chris,deena,0.3986,119
chris,opal,0.3985,119
arlen,reid,0.3911,119
eva,jeff,0.3883,119
geoff,zora,0.3846,119
conor,eva,0.3819,119
april,karl,0.3775,119
reid,sonia,0.3748,119
aron,eva,0.3712,119
april,jason,0.3574,119
chris,conor,0.3560,119
conor,opal,0.3538,119
geoff,opal,0.3493,119
conor,deena,0.3484,119
april,gwen,0.3471,119
april,marco,0.3419,119
eva,geoff,0.3416,119
deena,geoff,0.3348,119
chris,geoff,0.3339,119
adela,april,0.3323,119
opal,zora,0.3190,119
deena,zora,0.3178,119
miles,pablo,0.3099,119
deena,jeff,0.2936,119
jeff,opal,0.2935,119
aron,opal,0.2933,119
aron,deena,0.2897,119
anika,gilda,0.2825,119
conor,jeff,0.2815,119
henry,miles,0.2752,119
aron,conor,0.2731,119
deena,eva,0.2632,119
eva,opal,0.2597,119
geoff,jeff,0.2521,119
aron,geoff,0.2508,119
gilda,oscar,0.2487,119
henry,oscar,0.2425,119
anika,pablo,0.2300,119
gilda,miles,0.2261,119
brian,eva,0.2224,119
miles,omar,0.2127,119
arlen,jeff,0.2090,119
arlen,chris,0.2089,119
arlen,aron,0.2053,119
arlen,zora,0.2052,119
arlen,deena,0.1950,119
arlen,sofia,0.1944,119
arlen,opal,0.1943,119
anika,miles,0.1893,119
brian,zora,0.1888,119
luca,rick,0.1867,119
arlen,eva,0.1866,119
hana,rick,0.1865,119
omar,pablo,0.1852,119
arlen,conor,0.1850,119
gilda,henry,0.1833,119
arlen,vince,0.1817,119
gilda,omar,0.1802,119
brian,chris,0.1777,119
reid,vince,0.1773,119
pat,saul,0.1770,119
arlen,geoff,0.1752,119
sonia,vince,0.1747,119
reid,sofia,0.1743,119
luca,xavi,0.1691,119
chris,reid,0.1682,119
reid,zora,0.1680,119
miles,oscar,0.1673,119
gilda,pablo,0.1665,119
aron,reid,0.1661,119
jeff,reid,0.1635,119
deena,reid,0.1621,119
opal,reid,0.1608,119
brian,geoff,0.1595,119
april,sofia,0.1595,119
chris,sonia,0.1587,119
karl,sofia,0.1586,119
rick,xavi,0.1577,119
sofia,sonia,0.1555,119
eve,tara,0.1550,119
sonia,zora,0.1548,119
april,arlen,0.1539,119
brian,conor,0.1535,119
henry,omar,0.1535,119
aron,sonia,0.1523,119
conor,reid,0.1517,119
marco,sofia,0.1515,119
geoff,reid,0.1509,119
jeff,sonia,0.1507,119
gwen,sofia,0.1506,119
conor,kane,0.1489,119
jeff,sofia,0.1489,119
conor,sonia,0.1489,119
sofia,zora,0.1487,119
jason,sofia,0.1486,119
eva,reid,0.1475,119
eva,sofia,0.1471,119
chris,sofia,0.1470,119
geoff,kane,0.1456,119
kane,opal,0.1452,119
adela,sofia,0.1429,119
deena,sonia,0.1425,119
sofia,vince,0.1424,119
brad,kane,0.1423,119
april,reid,0.1422,119
anika,omar,0.1420,119
deena,kane,0.1418,119
deena,sofia,0.1408,119
conor,sofia,0.1408,119
aron,sofia,0.1403,119
opal,sonia,0.1398,119
vince,will,0.1393,119
