run,mean_jaccard_to_others,avg_cited_shards_per_topic
chris,0.0895,7.0
zora,0.0891,7.0
conor,0.0889,7.0
jeff,0.0862,7.1
aron,0.0853,6.4
deena,0.0848,7.6
geoff,0.0847,6.3
opal,0.0836,6.7
arlen,0.0829,12.1
arlo,0.0807,10.7
steve,0.0800,12.0
ryan,0.0798,10.3
reid,0.0786,11.8
eva,0.0783,7.1
alvin,0.0782,9.8
karl,0.0768,28.7
isaac,0.0768,13.8
april,0.0754,22.1
sonia,0.0748,11.6
sofia,0.0738,23.2
marco,0.0723,35.6
jason,0.0715,25.5
gwen,0.0714,38.5
adela,0.0688,39.5
will,0.0683,19.0
alex,0.0663,17.2
vince,0.0653,27.3
brad,0.0560,12.7
saul,0.0535,15.5
miles,0.0530,32.0
rene,0.0526,4.6
lloyd,0.0522,16.5
todd,0.0519,54.0
eden,0.0506,41.4
kane,0.0503,7.7
tania,0.0502,15.3
hilda,0.0493,13.4
finn,0.0490,68.5
laura,0.0487,12.7
hana,0.0485,11.7
rita,0.0485,68.2
pablo,0.0483,31.5
damon,0.0477,18.2
leon,0.0461,12.6
nola,0.0461,10.1
luca,0.0455,12.0
nina,0.0455,11.9
eve,0.0451,14.4
gilda,0.0440,10.8
alton,0.0430,22.5
henry,0.0428,29.4
gabe,0.0418,22.2
daria,0.0418,6.9
linda,0.0418,3.5
xavi,0.0414,10.4
anika,0.0407,10.3
rick,0.0404,9.9
gia,0.0394,5.4
omar,0.0389,22.0
brian,0.0384,2.5
pat,0.0382,15.0
tara,0.0373,35.7
jon,0.0363,13.4
june,0.0357,13.0
ariel,0.0350,24.7
maya,0.0346,9.1
darcy,0.0332,13.6
oscar,0.0325,10.9
paris,0.0324,23.8
lars,0.0322,27.9
edith,0.0318,25.8
sid,0.0297,46.9
zara,0.0292,21.5
sara,0.0283,15.9
jamie,0.0281,24.8
carmen,0.0268,27.7
andre,0.0267,8.7
paula,0.0264,2.1
ari,0.0205,13.9
nell,0.0195,5.9
yara,0.0182,17.8
carlo,0.0148,0.7
annie,0.0121,1.9
