topic,n_runs,n_shards_referenced,n_shards_cited,max_citation_consensus,max_consensus_frac,top_shard
rag2026-5,83,455,436,73,0.88,shard_04647_72515
rag2026-32,83,188,186,66,0.795,shard_04895_32353
rag2026-67,83,365,350,66,0.795,shard_01710_72297
rag2026-33,83,388,378,62,0.747,shard_00187_75139
rag2026-101,83,457,446,60,0.723,shard_02421_27955
rag2026-81,83,276,272,59,0.711,shard_05301_10652
rag2026-115,83,359,333,59,0.711,shard_04563_66689
rag2026-29,83,451,438,58,0.699,shard_02617_5869
rag2026-36,83,532,518,58,0.699,shard_02021_23222
rag2026-50,83,259,257,58,0.699,shard_01307_70977
rag2026-109,83,603,587,58,0.699,shard_01868_55691
rag2026-110,83,595,591,57,0.687,shard_04075_45832
rag2026-24,83,280,265,56,0.675,shard_00335_22231
rag2026-51,83,600,580,56,0.675,shard_06302_70413
rag2026-76,83,404,396,56,0.675,shard_00764_37982
rag2026-103,83,377,365,56,0.675,shard_00935_61302
rag2026-8,83,457,436,55,0.663,shard_02831_27781
rag2026-11,83,371,352,54,0.651,shard_05916_51069
rag2026-97,83,306,297,54,0.651,shard_01441_79240
rag2026-60,83,297,289,53,0.639,shard_00605_70878
rag2026-80,83,293,284,53,0.639,shard_03907_48894
rag2026-14,83,544,525,51,0.614,shard_04407_52240
rag2026-42,83,496,485,51,0.614,shard_04774_18339
rag2026-9,83,415,396,50,0.602,shard_01427_71709
rag2026-108,83,439,430,50,0.602,shard_01046_66251
rag2026-46,83,594,572,49,0.59,shard_00313_80199
rag2026-27,83,449,433,46,0.554,shard_02417_41712
rag2026-54,83,408,391,46,0.554,shard_05363_70922
rag2026-106,83,455,445,46,0.554,shard_03192_32355
rag2026-47,83,474,470,45,0.542,shard_02997_9617
rag2026-57,83,459,454,45,0.542,shard_06153_54298
rag2026-105,83,635,611,45,0.542,shard_00818_45821
rag2026-25,83,320,314,44,0.53,shard_06307_62463
rag2026-48,83,436,421,44,0.53,shard_01975_42834
rag2026-93,83,443,433,44,0.53,shard_04301_1956
rag2026-118,83,485,472,44,0.53,shard_05818_10390
rag2026-35,83,642,629,43,0.518,shard_05925_40145
rag2026-52,83,368,356,43,0.518,shard_05370_46869
rag2026-83,83,481,473,43,0.518,shard_04006_71740
rag2026-26,83,526,514,41,0.494,shard_03582_53197
rag2026-31,83,599,578,41,0.494,shard_04469_11440
rag2026-55,83,384,376,41,0.494,shard_06087_10598
rag2026-77,83,493,484,41,0.494,shard_01045_22811
rag2026-0,83,537,526,40,0.482,shard_00122_5199
rag2026-16,83,453,438,40,0.482,shard_03083_71929
rag2026-21,83,352,336,40,0.482,shard_01617_9602
rag2026-37,83,287,275,40,0.482,shard_04168_66465
rag2026-45,83,540,527,39,0.47,shard_05214_64894
rag2026-56,83,473,461,39,0.47,shard_05593_80593
rag2026-64,83,661,650,37,0.446,shard_00793_68108
rag2026-99,83,491,487,37,0.446,shard_05263_25896
rag2026-112,83,512,498,37,0.446,shard_02874_37267
rag2026-87,83,633,627,36,0.434,shard_03926_42795
rag2026-95,83,461,441,36,0.434,shard_02007_83082
rag2026-96,83,439,426,36,0.434,shard_02199_210
rag2026-13,83,517,497,35,0.422,shard_05815_38186
rag2026-17,83,544,526,35,0.422,shard_00745_57327
rag2026-18,83,459,449,35,0.422,shard_06032_55136
rag2026-116,83,656,644,35,0.422,shard_05258_10349
rag2026-7,83,665,645,33,0.398,shard_05007_66312
rag2026-23,83,562,549,33,0.398,shard_04723_11870
rag2026-49,83,704,670,33,0.398,shard_03121_47419
rag2026-82,83,407,385,33,0.398,shard_03108_79342
rag2026-71,83,406,396,32,0.386,shard_03590_68126
rag2026-15,83,623,606,31,0.373,shard_00703_39037
rag2026-38,83,709,695,31,0.373,shard_00078_74234
rag2026-69,83,542,527,31,0.373,shard_02224_15056
rag2026-73,83,611,594,31,0.373,shard_00324_10546
rag2026-100,83,794,773,31,0.373,shard_03135_59270
rag2026-39,83,696,680,30,0.361,shard_01824_11296
rag2026-78,83,597,581,30,0.361,shard_02507_23977
rag2026-102,83,507,495,30,0.361,shard_05587_65403
rag2026-1,83,671,647,29,0.349,shard_03431_63689
rag2026-10,83,634,623,29,0.349,shard_02354_68202
rag2026-44,83,571,550,29,0.349,shard_00544_66731
rag2026-84,83,585,575,29,0.349,shard_06503_13233
rag2026-88,83,686,671,29,0.349,shard_05938_5715
rag2026-94,83,550,536,29,0.349,shard_03592_49213
rag2026-111,83,708,687,29,0.349,shard_05109_77068
rag2026-62,83,570,543,28,0.337,shard_05165_62704
rag2026-66,83,542,534,28,0.337,shard_02995_58221
rag2026-75,83,510,506,28,0.337,shard_00124_30600
rag2026-79,83,529,511,28,0.337,shard_01386_41471
rag2026-19,83,672,645,27,0.325,shard_04441_7382
rag2026-34,83,605,583,27,0.325,shard_02275_63916
rag2026-53,83,596,587,27,0.325,shard_00444_18107
rag2026-107,83,313,306,27,0.325,shard_04197_47061
rag2026-68,83,681,661,26,0.313,shard_02218_69514
rag2026-86,83,408,401,26,0.313,shard_03582_66645
rag2026-98,83,538,530,26,0.313,shard_05146_75388
rag2026-12,83,822,800,25,0.301,shard_00903_45315
rag2026-28,83,564,553,25,0.301,shard_03896_33896
rag2026-43,83,503,479,24,0.289,shard_02829_25735
rag2026-65,83,643,623,24,0.289,shard_04950_72793
rag2026-70,83,577,550,24,0.289,shard_02402_8593
rag2026-22,83,706,692,23,0.277,shard_02216_3996
rag2026-2,83,655,631,22,0.265,shard_05998_7684
rag2026-4,83,603,573,22,0.265,shard_00630_46439
rag2026-6,83,993,981,22,0.265,shard_06145_33765
rag2026-30,83,703,677,22,0.265,shard_01879_60939
rag2026-89,83,827,807,22,0.265,shard_02564_74929
rag2026-90,83,649,619,22,0.265,shard_01549_80552
rag2026-113,83,460,457,22,0.265,shard_05284_82618
rag2026-40,83,636,621,21,0.253,shard_02157_77346
rag2026-61,83,648,626,21,0.253,shard_00639_12441
rag2026-74,83,561,552,21,0.253,shard_04661_1920
rag2026-91,83,300,288,21,0.253,shard_03972_70538
rag2026-114,83,702,682,21,0.253,shard_00095_74822
rag2026-3,83,822,801,20,0.241,shard_06447_4487
rag2026-41,83,686,662,20,0.241,shard_04463_74079
rag2026-72,83,638,612,20,0.241,shard_03346_35369
rag2026-85,83,691,673,20,0.241,shard_02938_42997
rag2026-92,83,550,536,20,0.241,shard_03155_29678
rag2026-104,83,643,619,20,0.241,shard_04284_7080
rag2026-20,83,650,632,19,0.229,shard_03267_6252
