rank,run_id,bt_strength,bt_wins
1,lars,16.641992,5767
2,luca,12.770215,5876
3,hana,12.267449,5870
4,ariel,7.123484,5642
5,edith,7.041421,5640
6,xavi,6.807899,5770
7,carmen,4.136406,5539
8,rick,3.185151,5692
9,eve,2.405324,5580
10,yara,2.070117,5608
11,saul,1.354621,5438
12,jamie,1.161325,5331
13,darcy,1.015554,5181
14,sonia,0.731488,5149
15,reid,0.670968,5120
16,june,0.663695,5149
17,arlen,0.649561,5109
18,sara,0.360667,4826
19,eden,0.212644,4485
20,todd,0.212379,4484
21,omar,0.207591,4322
22,rita,0.133196,4292
23,finn,0.117069,4236
24,sid,0.115777,4338
25,lloyd,0.089465,4264
26,alton,0.085476,4121
27,april,0.081603,3849
28,gabe,0.077761,4074
29,pablo,0.075801,3927
30,miles,0.073803,3916
31,henry,0.057814,3814
32,anika,0.052999,3777
33,gilda,0.051534,3765
34,oscar,0.039055,3644
35,paris,0.032418,3685
36,pat,0.029035,3593
37,jason,0.025723,3254
38,kane,0.024846,3549
39,daria,0.020254,3398
40,tara,0.018554,3378
41,will,0.013771,3116
42,alex,0.009459,2906
43,leon,0.006881,2643
44,nola,0.006744,2632
45,tania,0.005879,2020
46,sofia,0.005588,2649
47,ari,0.005342,2619
48,nina,0.004533,2414
49,steve,0.004420,1888
50,conor,0.004166,2088
51,jon,0.003971,2341
52,deena,0.003537,2013
53,opal,0.003281,1979
54,geoff,0.003203,1968
55,adela,0.003135,2088
56,nell,0.002723,2199
57,chris,0.002627,1879
58,jeff,0.002540,1864
59,zora,0.002455,1849
60,eva,0.002342,1828
61,aron,0.002077,1775
62,zara,0.001958,1993
63,marco,0.001036,1505
64,andre,0.000756,1411
65,gwen,0.000750,1351
66,maya,0.000745,1404
67,karl,0.000568,1225
68,hilda,0.000546,883
69,alvin,0.000415,799
70,arlo,0.000398,785
71,damon,0.000327,713
72,laura,0.000260,646
73,ryan,0.000210,596
74,gia,0.000210,837
75,isaac,0.000202,585
76,linda,0.000187,746
77,carlo,0.000179,479
78,vince,0.000161,732
79,brian,0.000147,663
80,rene,0.000077,374
81,brad,0.000046,351
82,annie,0.000011,72
83,paula,0.000009,59
