rank,run_id,team_id,wins,games,win_rate
1,lars,T569,5767,5903,0.9770
2,luca,T300,5876,6059,0.9698
3,hana,T300,5870,6059,0.9688
4,ariel,T569,5642,5903,0.9558
5,edith,T569,5640,5903,0.9554
6,xavi,T300,5770,6059,0.9523
7,carmen,T569,5539,5903,0.9383
8,rick,T267,5692,6293,0.9045
9,eve,T341,5580,6293,0.8867
10,yara,T649,5608,6371,0.8802
11,jamie,T300,5331,6059,0.8798
12,darcy,T569,5181,5903,0.8777
13,saul,T267,5438,6293,0.8641
14,june,T300,5149,6059,0.8498
15,sonia,T410,5149,6215,0.8285
16,reid,T410,5120,6215,0.8238
17,arlen,T410,5109,6215,0.8220
18,sara,T569,4826,5903,0.8176
19,eden,T736,4485,6059,0.7402
20,todd,T736,4484,6059,0.7401
21,omar,T086,4322,5903,0.7322
22,rita,T736,4292,6059,0.7084
23,finn,T736,4236,6059,0.6991
24,sid,T149,4338,6293,0.6893
25,lloyd,T820,4264,6371,0.6693
26,pablo,T086,3927,5903,0.6653
27,miles,T086,3916,5903,0.6634
28,alton,T175,4121,6215,0.6631
29,gabe,T175,4074,6215,0.6555
30,henry,T086,3814,5903,0.6461
31,april,T448,3849,5981,0.6435
32,anika,T086,3777,5903,0.6398
33,gilda,T086,3765,5903,0.6378
34,oscar,T086,3644,5903,0.6173
35,paris,T149,3685,6293,0.5856
36,pat,T445,3593,6293,0.5710
37,kane,T066,3549,6371,0.5571
38,jason,T448,3254,5981,0.5441
39,daria,T445,3398,6293,0.5400
40,tara,T341,3378,6293,0.5368
41,will,T706,3116,6214,0.5014
42,alex,T706,2906,6214,0.4677
43,ari,T569,2619,5903,0.4437
44,leon,T949,2643,6137,0.4307
45,nola,T949,2632,6137,0.4289
46,sofia,T578,2649,6371,0.4158
47,nina,T949,2414,6137,0.3934
48,jon,T949,2341,6137,0.3815
49,conor,T768,2088,5747,0.3633
50,tania,T047,2020,5600,0.3607
51,deena,T768,2013,5747,0.3503
52,adela,T448,2088,5981,0.3491
53,nell,T614,2199,6371,0.3452
54,opal,T768,1979,5747,0.3444
55,geoff,T768,1968,5747,0.3424
56,steve,T047,1888,5673,0.3328
57,zara,T736,1993,6059,0.3289
58,chris,T768,1879,5747,0.3270
59,jeff,T768,1864,5747,0.3243
60,zora,T768,1849,5747,0.3217
61,eva,T768,1828,5747,0.3181
62,aron,T768,1775,5747,0.3089
63,marco,T448,1505,5981,0.2516
64,gwen,T448,1351,5981,0.2259
65,andre,T712,1411,6293,0.2242
66,maya,T712,1404,6293,0.2231
67,karl,T448,1225,5981,0.2048
68,hilda,T047,883,5600,0.1577
69,alvin,T047,799,5673,0.1408
70,arlo,T047,785,5673,0.1384
71,gia,T182,837,6371,0.1314
72,damon,T047,713,5600,0.1273
73,linda,T656,746,6293,0.1185
74,laura,T047,646,5600,0.1154
75,vince,T507,732,6371,0.1149
76,brian,T656,663,6293,0.1054
77,ryan,T047,596,5673,0.1051
78,isaac,T047,585,5673,0.1031
79,carlo,T907,479,4714,0.1016
80,rene,T047,374,5673,0.0659
81,brad,T175,351,6215,0.0565
82,annie,T907,72,6234,0.0115
83,paula,T907,59,6234,0.0095
